city,feature,train_missing_rate,test_missing_rate,missing_rate_difference,abs_missing_rate_difference
iq,station_min_temp_c,0.015384615384615385,0.04487179487179487,0.029487179487179487,0.029487179487179487
iq,station_max_temp_c,0.026923076923076925,0.00641025641025641,-0.020512820512820516,0.020512820512820516
iq,station_precip_mm,0.03076923076923077,0.019230769230769232,-0.011538461538461539,0.011538461538461539
iq,precipitation_amt_mm,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_air_temp_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_avg_temp_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_dew_point_temp_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_max_air_temp_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_min_air_temp_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_precip_amt_kg_per_m2,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_relative_humidity_percent,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_sat_precip_amt_mm,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_specific_humidity_g_per_kg,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,reanalysis_tdtr_k,0.007692307692307693,0.0,-0.007692307692307693,0.007692307692307693
iq,station_avg_temp_c,0.07115384615384615,0.0641025641025641,-0.007051282051282054,0.007051282051282054
iq,station_diur_temp_rng_c,0.07115384615384615,0.0641025641025641,-0.007051282051282054,0.007051282051282054
iq,ndvi_ne,0.0057692307692307696,0.0,-0.0057692307692307696,0.0057692307692307696
iq,ndvi_nw,0.0057692307692307696,0.0,-0.0057692307692307696,0.0057692307692307696
iq,ndvi_se,0.0057692307692307696,0.0,-0.0057692307692307696,0.0057692307692307696
iq,ndvi_sw,0.0057692307692307696,0.0,-0.0057692307692307696,0.0057692307692307696
sj,ndvi_ne,0.20405982905982906,0.16538461538461538,-0.03867521367521368,0.03867521367521368
sj,ndvi_se,0.0202991452991453,0.0038461538461538464,-0.016452991452991454,0.016452991452991454
sj,ndvi_sw,0.0202991452991453,0.0038461538461538464,-0.016452991452991454,0.016452991452991454
sj,ndvi_nw,0.05235042735042735,0.04230769230769231,-0.010042735042735042,0.010042735042735042
sj,precipitation_amt_mm,0.009615384615384616,0.007692307692307693,-0.0019230769230769232,0.0019230769230769232
sj,reanalysis_sat_precip_amt_mm,0.009615384615384616,0.007692307692307693,-0.0019230769230769232,0.0019230769230769232
sj,reanalysis_air_temp_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_avg_temp_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_dew_point_temp_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_max_air_temp_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_min_air_temp_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_precip_amt_kg_per_m2,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_relative_humidity_percent,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_specific_humidity_g_per_kg,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,reanalysis_tdtr_k,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,station_avg_temp_c,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,station_diur_temp_rng_c,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,station_max_temp_c,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,station_min_temp_c,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
sj,station_precip_mm,0.00641025641025641,0.007692307692307693,0.0012820512820512827,0.0012820512820512827
