weekofyear,seasonal_mean,seasonal_abs_mean
1,-0.9448079444937358,0.9448079444937358
2,-1.1125606742732055,1.1125606742732055
3,-1.3345624078380387,1.3345624078380387
4,-1.3735125374375263,1.3735125374375263
5,-1.489288163004153,1.489288163004153
6,-1.4770325260643657,1.4770325260643657
7,-1.3603880883284036,1.3603880883284036
8,-1.3537568246243528,1.3537568246243528
9,-1.6347122138930803,1.6347122138930803
10,-1.5775890375846844,1.5775890375846844
11,-1.485285178251094,1.485285178251094
12,-1.23733242883581,1.23733242883581
13,-1.2227767948011001,1.2227767948011001
14,-1.128267896675778,1.128267896675778
15,-1.139847833203261,1.139847833203261
16,-0.9365271973803423,0.9365271973803423
17,-0.601381783702591,0.601381783702591
18,-0.4165741216247561,0.4165741216247561
19,-0.14424123416795992,0.14424123416795992
20,-0.11594827337243856,0.11594827337243856
21,0.19460134003870036,0.19460134003870036
22,0.44969531903024673,0.44969531903024673
23,0.5352883819710033,0.5352883819710033
24,0.6479910470250584,0.6479910470250584
25,0.8022748607008147,0.8022748607008147
26,0.8632875563741618,0.8632875563741618
27,0.9825758779642777,0.9825758779642777
28,0.8615988722915755,0.8615988722915755
29,0.9192604220682404,0.9192604220682404
30,0.86543888794392,0.86543888794392
31,0.9604352818121098,0.9604352818121098
32,1.1594818774691187,1.1594818774691187
33,1.1270812915800839,1.1270812915800839
34,1.1666718957303424,1.1666718957303424
35,1.2718289658897388,1.2718289658897388
36,1.2835712758256628,1.2835712758256628
37,1.4092086112807152,1.4092086112807152
38,1.3824268374968998,1.3824268374968998
39,1.3078771589992138,1.3078771589992138
40,1.3225961584858144,1.3225961584858144
41,1.1332763442270228,1.1332763442270228
42,1.0383853388504851,1.0383853388504851
43,0.8195064354678142,0.8195064354678142
44,0.8123886803661218,0.8123886803661218
45,0.6284202217296593,0.6284202217296593
46,0.38826995723098057,0.38826995723098057
47,-0.06260177167622952,0.06260177167622952
48,-0.2584776488096773,0.2584776488096773
49,-0.40869462513423194,0.40869462513423194
50,-0.5737205947858294,0.5737205947858294
51,-0.4761847781940907,0.4761847781940907
52,-0.6335912816855408,0.6335912816855408
53,-0.8669511988582999,0.8669511988582999
