weekofyear,seasonal_mean,seasonal_abs_mean
1,1.8388252553529838,1.8388252553529838
2,5.520271741717176,5.520271741717176
3,3.175702013295929,3.175702013295929
4,12.329509810095834,12.329509810095834
5,5.799779462656712,5.799779462656712
6,-15.697421276489973,15.697421276489973
7,-3.680506816762383,3.680506816762383
8,-16.432033036302034,16.432033036302034
9,16.29807298759623,16.29807298759623
10,23.19299450463415,23.19299450463415
11,29.05800596655488,29.05800596655488
12,44.203748161241315,44.203748161241315
13,33.255235042575606,33.255235042575606
14,30.65901125314362,30.65901125314362
15,16.10989252351622,16.10989252351622
16,11.571451065969317,11.571451065969317
17,5.915574764978208,5.915574764978208
18,8.230431582341472,8.230431582341472
19,2.8962835628252077,2.8962835628252077
20,-9.714341805883056,9.714341805883056
21,-8.230460947283303,8.230460947283303
22,2.7563702183405114,2.7563702183405114
23,7.424713466422395,7.424713466422395
24,1.9177973253799614,1.9177973253799614
25,6.381240840105212,6.381240840105212
26,-20.685609573828103,20.685609573828103
27,-26.362792293530966,26.362792293530966
28,-29.406026475505552,29.406026475505552
29,-11.678914674748285,11.678914674748285
30,-15.891222332316815,15.891222332316815
31,-16.024030203484642,16.024030203484642
32,-34.25194241389673,34.25194241389673
33,-27.758715587875464,27.758715587875464
34,-27.1051271542102,27.1051271542102
35,-6.512380084391158,6.512380084391158
36,-12.100551228375966,12.100551228375966
37,-18.60868437180286,18.60868437180286
38,-9.074815722299938,9.074815722299938
39,0.8478831693172377,0.8478831693172377
40,-2.0051202465521833,2.0051202465521833
41,-9.88753072842966,9.88753072842966
42,-4.705849801900949,4.705849801900949
43,4.7542932533524045,4.7542932533524045
44,7.817676188533538,7.817676188533538
45,11.913145314258392,11.913145314258392
46,11.399386566569525,11.399386566569525
47,0.35977516757821276,0.35977516757821276
48,0.9708789657665265,0.9708789657665265
49,0.030478897259451364,0.030478897259451364
50,4.96592201202876,4.96592201202876
51,5.171167312406256,5.171167312406256
52,6.083651402653002,6.083651402653002
53,7.081958800991633,7.081958800991633
