city,feature_group,feature,lag_months,n_pairs,pearson_corr,abs_pearson_corr
iq,station,station_avg_temp_c,6,114,-0.3577403712824715,0.3577403712824715
iq,station,station_avg_temp_c,7,113,-0.3564799771878972,0.3564799771878972
iq,station,station_max_temp_c,7,113,-0.350736182885608,0.350736182885608
iq,reanalysis,reanalysis_min_air_temp_k,11,109,0.34611575454465987,0.34611575454465987
iq,ndvi,ndvi_sw,13,107,0.3451250232040823,0.3451250232040823
iq,reanalysis,reanalysis_min_air_temp_k,12,108,0.3439515144294622,0.3439515144294622
iq,station,station_min_temp_c,11,109,0.3380072947081035,0.3380072947081035
iq,ndvi,ndvi_se,8,112,-0.33352843664634374,0.33352843664634374
iq,station,station_min_temp_c,0,120,0.3289818675986162,0.3289818675986162
iq,reanalysis,reanalysis_max_air_temp_k,8,112,-0.3280196920789278,0.3280196920789278
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,12,108,0.327178489613505,0.327178489613505
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,0,120,0.32576031783270437,0.32576031783270437
iq,reanalysis,reanalysis_dew_point_temp_k,12,108,0.32162171836521364,0.32162171836521364
iq,station,station_max_temp_c,8,112,-0.3216143435174952,0.3216143435174952
iq,reanalysis,reanalysis_dew_point_temp_k,0,120,0.32083696136595047,0.32083696136595047
iq,station,station_diur_temp_rng_c,7,113,-0.3189070331729642,0.3189070331729642
iq,reanalysis,reanalysis_min_air_temp_k,0,120,0.3178113775304407,0.3178113775304407
iq,station,station_min_temp_c,5,115,-0.3155553454552242,0.3155553454552242
iq,reanalysis,reanalysis_avg_temp_k,14,106,0.31479630521620233,0.31479630521620233
iq,reanalysis,reanalysis_air_temp_k,14,106,0.31424597905122464,0.31424597905122464
iq,reanalysis,reanalysis_tdtr_k,9,111,-0.31312717979895116,0.31312717979895116
iq,station,station_diur_temp_rng_c,8,112,-0.3065040370393243,0.3065040370393243
iq,station,station_min_temp_c,12,108,0.30189696849001324,0.30189696849001324
iq,reanalysis,reanalysis_max_air_temp_k,9,111,-0.3014107033231727,0.3014107033231727
iq,station,station_avg_temp_c,5,115,-0.2996254720892936,0.2996254720892936
sj,station,station_min_temp_c,2,215,0.39763335681266176,0.39763335681266176
sj,station,station_avg_temp_c,2,215,0.3911676379233669,0.3911676379233669
sj,station,station_avg_temp_c,3,214,0.36434790060338695,0.36434790060338695
sj,station,station_avg_temp_c,14,203,0.36430691060597736,0.36430691060597736
sj,station,station_max_temp_c,2,215,0.36204510265958545,0.36204510265958545
sj,station,station_min_temp_c,3,214,0.36164884477477094,0.36164884477477094
sj,reanalysis,reanalysis_max_air_temp_k,8,209,-0.359608366441468,0.359608366441468
sj,station,station_max_temp_c,3,214,0.3589481053778767,0.3589481053778767
sj,reanalysis,reanalysis_air_temp_k,8,209,-0.3526842416299797,0.3526842416299797
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,8,209,-0.3523595736957381,0.3523595736957381
sj,reanalysis,reanalysis_avg_temp_k,8,209,-0.35015452884795634,0.35015452884795634
sj,station,station_min_temp_c,1,216,0.34709443656878014,0.34709443656878014
sj,reanalysis,reanalysis_dew_point_temp_k,8,209,-0.34682354097456414,0.34682354097456414
sj,precipitation,precipitation_amt_mm,8,209,-0.34103821528886624,0.34103821528886624
sj,reanalysis,reanalysis_sat_precip_amt_mm,8,209,-0.34103821528886624,0.34103821528886624
sj,station,station_min_temp_c,8,209,-0.33710585861815756,0.33710585861815756
sj,station,station_avg_temp_c,1,216,0.3360677448895048,0.3360677448895048
sj,reanalysis,reanalysis_air_temp_k,7,210,-0.33243990934186607,0.33243990934186607
sj,reanalysis,reanalysis_min_air_temp_k,8,209,-0.32809492534284174,0.32809492534284174
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,7,210,-0.3270286818979667,0.3270286818979667
sj,reanalysis,reanalysis_avg_temp_k,7,210,-0.3267189732432988,0.3267189732432988
sj,reanalysis,reanalysis_min_air_temp_k,2,215,0.32400382723685434,0.32400382723685434
sj,reanalysis,reanalysis_dew_point_temp_k,2,215,0.32346242116004315,0.32346242116004315
sj,precipitation,precipitation_amt_mm,7,210,-0.3218297693882419,0.3218297693882419
sj,reanalysis,reanalysis_sat_precip_amt_mm,7,210,-0.3218297693882419,0.3218297693882419
