city,feature_group,lag_months,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,ndvi,0,4,0.0462348013782015,0.04178692727485232,0.08963435191507008,ndvi_se,-0.08963435191507008,0.08963435191507008
iq,ndvi,1,4,0.0697649514768959,0.07746578393478094,0.10508860748979673,ndvi_nw,0.10508860748979673,0.10508860748979673
iq,ndvi,2,4,0.16077171210546315,0.1675332506471679,0.18518011570892748,ndvi_sw,0.18518011570892748,0.18518011570892748
iq,ndvi,3,4,0.17756955625897108,0.18931117776894046,0.2263391499745082,ndvi_sw,0.2263391499745082,0.2263391499745082
iq,ndvi,4,4,0.16122757654151307,0.17630836770083402,0.23948786947285378,ndvi_nw,0.23948786947285378,0.23948786947285378
iq,ndvi,5,4,0.07301781473330755,0.05044662066226737,0.18040977791236884,ndvi_nw,0.18040977791236884,0.18040977791236884
iq,ndvi,6,4,0.05308141834645502,0.05766161648995926,0.08041544604581535,ndvi_se,-0.08041544604581535,0.08041544604581535
iq,ndvi,7,4,0.1831202883580089,0.17346304053644812,0.23785759976317136,ndvi_se,-0.23785759976317136,0.23785759976317136
iq,ndvi,8,4,0.2080499122965105,0.18203467693745662,0.33352843664634374,ndvi_se,-0.33352843664634374,0.33352843664634374
iq,ndvi,9,4,0.14495188599542097,0.1273050914943657,0.24886181538459834,ndvi_se,-0.24886181538459834,0.24886181538459834
iq,ndvi,10,4,0.16757341665299635,0.16716378149043093,0.2635460918099443,ndvi_se,-0.2635460918099443,0.2635460918099443
iq,ndvi,11,4,0.07948466630397243,0.06276661338337548,0.18618489988535833,ndvi_se,-0.18618489988535833,0.18618489988535833
iq,ndvi,12,4,0.13957260375568076,0.13715662197813433,0.22467704841843278,ndvi_sw,0.22467704841843278,0.22467704841843278
iq,ndvi,13,4,0.24778022758693852,0.22497894007548497,0.3451250232040823,ndvi_sw,0.3451250232040823,0.3451250232040823
iq,ndvi,14,4,0.19595824331995274,0.1898418338286868,0.26228687126603983,ndvi_sw,0.26228687126603983,0.26228687126603983
iq,precipitation,0,1,0.18743593479444773,0.18743593479444773,0.18743593479444773,precipitation_amt_mm,0.18743593479444773,0.18743593479444773
iq,precipitation,1,1,0.14832768896204562,0.14832768896204562,0.14832768896204562,precipitation_amt_mm,0.14832768896204562,0.14832768896204562
iq,precipitation,2,1,0.07558287806897077,0.07558287806897077,0.07558287806897077,precipitation_amt_mm,-0.07558287806897077,0.07558287806897077
iq,precipitation,3,1,0.10838716448193987,0.10838716448193987,0.10838716448193987,precipitation_amt_mm,-0.10838716448193987,0.10838716448193987
iq,precipitation,4,1,0.22349671481636874,0.22349671481636874,0.22349671481636874,precipitation_amt_mm,-0.22349671481636874,0.22349671481636874
iq,precipitation,5,1,0.26030606741782,0.26030606741782,0.26030606741782,precipitation_amt_mm,-0.26030606741782,0.26030606741782
iq,precipitation,6,1,0.1551668202341785,0.1551668202341785,0.1551668202341785,precipitation_amt_mm,-0.1551668202341785,0.1551668202341785
iq,precipitation,7,1,0.004286288658655364,0.004286288658655364,0.004286288658655364,precipitation_amt_mm,-0.004286288658655364,0.004286288658655364
iq,precipitation,8,1,0.05975959081310618,0.05975959081310618,0.05975959081310618,precipitation_amt_mm,0.05975959081310618,0.05975959081310618
iq,precipitation,9,1,0.2472127186988912,0.2472127186988912,0.2472127186988912,precipitation_amt_mm,0.2472127186988912,0.2472127186988912
iq,precipitation,10,1,0.2768616129573283,0.2768616129573283,0.2768616129573283,precipitation_amt_mm,0.2768616129573283,0.2768616129573283
iq,precipitation,11,1,0.2076834616340323,0.2076834616340323,0.2076834616340323,precipitation_amt_mm,0.2076834616340323,0.2076834616340323
iq,precipitation,12,1,0.2636197308253178,0.2636197308253178,0.2636197308253178,precipitation_amt_mm,0.2636197308253178,0.2636197308253178
iq,precipitation,13,1,0.14813487432976327,0.14813487432976327,0.14813487432976327,precipitation_amt_mm,0.14813487432976327,0.14813487432976327
iq,precipitation,14,1,0.11678452988353369,0.11678452988353369,0.11678452988353369,precipitation_amt_mm,-0.11678452988353369,0.11678452988353369
iq,reanalysis,0,10,0.20343751980082425,0.18782454575317742,0.32576031783270437,reanalysis_specific_humidity_g_per_kg,0.32576031783270437,0.32576031783270437
iq,reanalysis,1,10,0.16057212234871795,0.15397318899139834,0.271691123464082,reanalysis_min_air_temp_k,0.271691123464082,0.271691123464082
iq,reanalysis,2,10,0.11824539409437226,0.1572515728537081,0.18601855028196568,reanalysis_avg_temp_k,0.18601855028196568,0.18601855028196568
