city,month_start,year,month,weeks_in_month,total_cases,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
iq,2000-07-01,2000,7,5,0,0.22856952000000003,0.20980857999999997,0.2686057,0.23564572,209.9,296.316,297.6271428574,294.584,305.8,291.38,209.72,91.44885714285999,209.9,16.102,9.048571428574,26.49333333334,11.16433333334,32.86,19.2,130.7
iq,2000-08-01,2000,8,4,0,0.327576175,0.308784975,0.34018784999999996,0.3320125,196.91,297.59428571425,299.042857143,293.1110714285,308.25,290.625,50.17,78.808571428575,196.91,14.6607142857,13.17857142855,26.46,11.576666666674999,33.25,19.1,223.70000000000002
iq,2000-09-01,2000,9,5,1,0.28735714,0.264339506,0.32905382,0.26873998,304.83,299.3342857146,300.72714285719996,292.73457142859996,311.0,291.0,28.47,70.5097142857,304.83,14.41485714286,13.49428571428,27.518333333340003,12.53666666668,34.86,20.64,315.9
iq,2000-10-01,2000,10,4,2,0.300793325,0.225866075,0.36415572500000004,0.240309525,151.78,298.89999999975,300.7589285715,294.49321428575,310.25,292.2,71.7,79.093928571425,151.78,15.986071428574999,13.4607142857,27.533035714274998,11.929166666675,34.65,20.5,169.1
iq,2000-11-01,2000,11,4,0,0.2090958325,0.172061675,0.28702975,0.1866458575,214.63,300.67464285725,301.789285714,294.46178571424997,311.375,293.625,54.199999999999996,71.86500000002499,214.63,16.091071428575,13.178571428575,28.125,12.258333333325,35.9,21.45,30.1
iq,2000-12-01,2000,12,4,1,0.255401175,0.230525,0.29082265,0.276323225,160.14000000000001,299.66035714275,301.1589285715,293.4089285715,311.2,293.0,70.66,72.1232142857,160.14000000000001,15.107857142875,13.1107142857,27.466666666675,11.377083333325,34.25,21.25,87.0
iq,2001-01-01,2001,1,5,0,0.26214094,0.19745908,0.24630093999999997,0.26764858,415.87,297.0782857144,298.2814285714,295.0805714284,305.6,292.84000000000003,281.48,90.18857142854,415.87,16.61257142858,7.962857142858001,26.70666666666,10.445,32.739999999999995,20.6,465.5
iq,2001-02-01,2001,2,4,0,0.20800285000000002,0.15163335,0.17485,0.21478155000000002,162.08,295.9975,296.9767857145,294.58607142875,304.375,292.275,115.5,92.530357142875,162.08,16.109285714275,6.7964285714275,26.785833333325,9.61375,33.400000000000006,21.05,145.6
iq,2001-03-01,2001,3,4,0,0.184537275,0.2029375,0.167857135,0.2067143,376.82,297.49071428575,298.542857143,295.81,307.0,293.4,616.21,91.728214285725,376.82,17.386785714275,7.92142857143,27.183333333325,11.158333333325,33.95,20.0,277.79999999999995
iq,2001-04-01,2001,4,5,1,0.29254858,0.27193429999999996,0.29074286000000005,0.30670284,417.78999999999996,297.1582857144,298.4271428572,295.7960000002,305.9,292.82,504.02,93.25942857144,417.78999999999996,17.34,7.717142857152,27.243666666659998,11.18766666666,34.4,20.380000000000003,277.5
iq,2001-05-01,2001,5,4,2,0.29508215,0.2977149,0.24046430000000002,0.29669645,280.52,297.050357143,298.1160714285,296.0825,305.27500000000003,292.9,239.6,95.084285714275,280.52,17.648571428575,7.5178571428575,27.0749999999875,10.937499999987502,33.55,20.8375,162.1
