city,feature_group,feature,window_months,rolling_stat,rolling_feature_name,n_pairs,pearson_corr,abs_pearson_corr
iq,ndvi,ndvi_ne,1,mean,ndvi_ne_rolling_1_month_mean,120,-0.011730999048031245,0.011730999048031245
iq,ndvi,ndvi_ne,2,mean,ndvi_ne_rolling_2_month_mean,120,0.04550991900316729,0.04550991900316729
iq,ndvi,ndvi_ne,3,mean,ndvi_ne_rolling_3_month_mean,120,0.11624839762878199,0.11624839762878199
iq,ndvi,ndvi_ne,4,mean,ndvi_ne_rolling_4_month_mean,120,0.1673245090054047,0.1673245090054047
iq,ndvi,ndvi_ne,5,mean,ndvi_ne_rolling_5_month_mean,120,0.19524540100486362,0.19524540100486362
iq,ndvi,ndvi_ne,6,mean,ndvi_ne_rolling_6_month_mean,120,0.18424373623139487,0.18424373623139487
iq,ndvi,ndvi_ne,7,mean,ndvi_ne_rolling_7_month_mean,120,0.1734158616757551,0.1734158616757551
iq,ndvi,ndvi_ne,8,mean,ndvi_ne_rolling_8_month_mean,120,0.11300885953310906,0.11300885953310906
iq,ndvi,ndvi_ne,9,mean,ndvi_ne_rolling_9_month_mean,120,0.053204818184788914,0.053204818184788914
iq,ndvi,ndvi_ne,10,mean,ndvi_ne_rolling_10_month_mean,120,0.008241049014690218,0.008241049014690218
iq,ndvi,ndvi_ne,11,mean,ndvi_ne_rolling_11_month_mean,120,-0.051697017980409724,0.051697017980409724
iq,ndvi,ndvi_ne,12,mean,ndvi_ne_rolling_12_month_mean,120,-0.07542984782982948,0.07542984782982948
iq,ndvi,ndvi_ne,13,mean,ndvi_ne_rolling_13_month_mean,120,-0.03250875814715772,0.03250875814715772
iq,ndvi,ndvi_ne,14,mean,ndvi_ne_rolling_14_month_mean,120,0.02332090751859982,0.02332090751859982
iq,ndvi,ndvi_nw,1,mean,ndvi_nw_rolling_1_month_mean,120,-0.05331676369299647,0.05331676369299647
iq,ndvi,ndvi_nw,2,mean,ndvi_nw_rolling_2_month_mean,120,0.03565861586367812,0.03565861586367812
iq,ndvi,ndvi_nw,3,mean,ndvi_nw_rolling_3_month_mean,120,0.11414235582756561,0.11414235582756561
iq,ndvi,ndvi_nw,4,mean,ndvi_nw_rolling_4_month_mean,120,0.1840548088069383,0.1840548088069383
iq,ndvi,ndvi_nw,5,mean,ndvi_nw_rolling_5_month_mean,120,0.2585360486619343,0.2585360486619343
iq,ndvi,ndvi_nw,6,mean,ndvi_nw_rolling_6_month_mean,120,0.30587257403663637,0.30587257403663637
iq,ndvi,ndvi_nw,7,mean,ndvi_nw_rolling_7_month_mean,120,0.3229367173090804,0.3229367173090804
iq,ndvi,ndvi_nw,8,mean,ndvi_nw_rolling_8_month_mean,120,0.27193290640116136,0.27193290640116136
iq,ndvi,ndvi_nw,9,mean,ndvi_nw_rolling_9_month_mean,120,0.23203384359408302,0.23203384359408302
iq,ndvi,ndvi_nw,10,mean,ndvi_nw_rolling_10_month_mean,120,0.21439722772989658,0.21439722772989658
iq,ndvi,ndvi_nw,11,mean,ndvi_nw_rolling_11_month_mean,120,0.19508191279923606,0.19508191279923606
iq,ndvi,ndvi_nw,12,mean,ndvi_nw_rolling_12_month_mean,120,0.1942135926892919,0.1942135926892919
iq,ndvi,ndvi_nw,13,mean,ndvi_nw_rolling_13_month_mean,120,0.23252908330126992,0.23252908330126992
iq,ndvi,ndvi_nw,14,mean,ndvi_nw_rolling_14_month_mean,120,0.292286274914458,0.292286274914458
iq,ndvi,ndvi_se,1,mean,ndvi_se_rolling_1_month_mean,120,-0.08963435191507008,0.08963435191507008
iq,ndvi,ndvi_se,2,mean,ndvi_se_rolling_2_month_mean,120,-0.0662227649045417,0.0662227649045417
iq,ndvi,ndvi_se,3,mean,ndvi_se_rolling_3_month_mean,120,-0.0002649381837528017,0.0002649381837528017
iq,ndvi,ndvi_se,4,mean,ndvi_se_rolling_4_month_mean,120,0.030308552531016095,0.030308552531016095
iq,ndvi,ndvi_se,5,mean,ndvi_se_rolling_5_month_mean,120,0.032980803290514796,0.032980803290514796
iq,ndvi,ndvi_se,6,mean,ndvi_se_rolling_6_month_mean,120,0.014825066578768066,0.014825066578768066
iq,ndvi,ndvi_se,7,mean,ndvi_se_rolling_7_month_mean,120,-0.020351032703758924,0.020351032703758924
iq,ndvi,ndvi_se,8,mean,ndvi_se_rolling_8_month_mean,120,-0.09307762190713496,0.09307762190713496
iq,ndvi,ndvi_se,9,mean,ndvi_se_rolling_9_month_mean,120,-0.18221690286803122,0.18221690286803122
iq,ndvi,ndvi_se,10,mean,ndvi_se_rolling_10_month_mean,120,-0.24406500434921666,0.24406500434921666
iq,ndvi,ndvi_se,11,mean,ndvi_se_rolling_11_month_mean,120,-0.30049999582058745,0.30049999582058745
iq,ndvi,ndvi_se,12,mean,ndvi_se_rolling_12_month_mean,120,-0.3313211713222531,0.3313211713222531
iq,ndvi,ndvi_se,13,mean,ndvi_se_rolling_13_month_mean,120,-0.311253701414208,0.311253701414208
iq,ndvi,ndvi_se,14,mean,ndvi_se_rolling_14_month_mean,120,-0.26999090207950277,0.26999090207950277
iq,ndvi,ndvi_sw,1,mean,ndvi_sw_rolling_1_month_mean,120,-0.030257090856708184,0.030257090856708184
iq,ndvi,ndvi_sw,2,mean,ndvi_sw_rolling_2_month_mean,120,0.03202599995569677,0.03202599995569677
