weekofyear,seasonal_mean,seasonal_abs_mean
1,0.3024092565322,0.3024092565322
2,0.11259697295138557,0.11259697295138557
3,0.4679749434835011,0.4679749434835011
4,0.3034378184284353,0.3034378184284353
5,0.6362522162364647,0.6362522162364647
6,0.369178001943422,0.369178001943422
7,0.27725289340110926,0.27725289340110926
8,0.3601493091250143,0.3601493091250143
9,0.8771440538305834,0.8771440538305834
10,1.052106398137068,1.052106398137068
11,0.812311265507932,0.812311265507932
12,0.7272502776483225,0.7272502776483225
13,0.7724857951291038,0.7724857951291038
14,0.9130262559769013,0.9130262559769013
15,1.0009471108702814,1.0009471108702814
16,0.7888220140895261,0.7888220140895261
17,0.8252689917159588,0.8252689917159588
18,0.6864792727544637,0.6864792727544637
19,0.536116347956167,0.536116347956167
20,0.43656898317248694,0.43656898317248694
21,0.24439397279815336,0.24439397279815336
22,0.10155877561661356,0.10155877561661356
23,-0.45915397019046295,0.45915397019046295
24,-0.6490416464951095,0.6490416464951095
25,-1.1244318859801514,1.1244318859801514
26,-2.011634808005106,2.011634808005106
27,-1.549917620152176,1.549917620152176
28,-1.3924930515927705,1.3924930515927705
29,-1.2298549158900882,1.2298549158900882
30,-1.4626861711471588,1.4626861711471588
31,-1.448977072196691,1.448977072196691
32,-2.1156493627061312,2.1156493627061312
33,-2.0283317290742104,2.0283317290742104
34,-1.4062946655815103,1.4062946655815103
35,-0.7150033539878728,0.7150033539878728
36,-1.0184049259452272,1.0184049259452272
37,-1.0534003620163788,1.0534003620163788
38,-0.7080929842554882,0.7080929842554882
39,-0.6982894031887762,0.6982894031887762
40,-0.06508363756619573,0.06508363756619573
41,0.19346286414983166,0.19346286414983166
42,0.1589546260998262,0.1589546260998262
43,0.32193692913434185,0.32193692913434185
44,0.6258629302662705,0.6258629302662705
45,0.8503955599394901,0.8503955599394901
46,0.7958834286383834,0.7958834286383834
47,0.8766146155160583,0.8766146155160583
48,1.0361575896463322,1.0361575896463322
49,0.6472481398180457,0.6472481398180457
50,0.6174986442979444,0.6174986442979444
51,1.0306175539404456,1.0306175539404456
52,0.9514993450377426,0.9514993450377426
53,0.10492903212170707,0.10492903212170707
