city,transform,feature_group,feature,generated_feature,parameter_weeks,source_analysis_type,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr,monthly_lag_months,monthly_selection_rank_within_feature
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_39,39,monthly_lag,-0.1993353394109225,0.1993353394109225,0.2214572599965183,0.9001074943944326,0.1,0.19931153399686646,10.0,3.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_40,40,monthly_lag,-0.1993353394109225,0.1993353394109225,0.2214572599965183,0.9001074943944326,0.1,0.19931153399686646,10.0,3.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_41,41,monthly_lag,-0.1993353394109225,0.1993353394109225,0.2214572599965183,0.9001074943944326,0.1,0.19931153399686646,10.0,3.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_51,51,monthly_lag,0.2214572599965183,0.2214572599965183,0.2214572599965183,1.0,0.1,0.19931153399686646,13.0,1.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_52,52,monthly_lag,0.2214572599965183,0.2214572599965183,0.2214572599965183,1.0,0.1,0.19931153399686646,13.0,1.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_53,53,monthly_lag,0.2214572599965183,0.2214572599965183,0.2214572599965183,1.0,0.1,0.19931153399686646,13.0,1.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_55,55,monthly_lag,0.2181319045772674,0.2181319045772674,0.2214572599965183,0.9849842113132656,0.1,0.19931153399686646,14.0,2.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_56,56,monthly_lag,0.2181319045772674,0.2181319045772674,0.2214572599965183,0.9849842113132656,0.1,0.19931153399686646,14.0,2.0
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_57,57,monthly_lag,0.2181319045772674,0.2181319045772674,0.2214572599965183,0.9849842113132656,0.1,0.19931153399686646,14.0,2.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_15,15,monthly_lag,0.2394878694728537,0.2394878694728537,0.2394878694728537,1.0,0.1,0.21553908252556833,4.0,1.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_16,16,monthly_lag,0.2394878694728537,0.2394878694728537,0.2394878694728537,1.0,0.1,0.21553908252556833,4.0,1.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_17,17,monthly_lag,0.2394878694728537,0.2394878694728537,0.2394878694728537,1.0,0.1,0.21553908252556833,4.0,1.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_51,51,monthly_lag,0.2285006201544515,0.2285006201544515,0.2394878694728537,0.9541218962672863,0.1,0.21553908252556833,13.0,2.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_52,52,monthly_lag,0.2285006201544515,0.2285006201544515,0.2394878694728537,0.9541218962672863,0.1,0.21553908252556833,13.0,2.0
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_53,53,monthly_lag,0.2285006201544515,0.2285006201544515,0.2394878694728537,0.9541218962672863,0.1,0.21553908252556833,13.0,2.0
iq,rolling_mean,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,rolling,0.161044703147365,0.161044703147365,0.161044703147365,1.0,0.15,0.1529924679899967,,
iq,lag,ndvi,ndvi_se,ndvi_se_lag_31,31,monthly_lag,-0.3335284366463437,0.3335284366463437,0.3335284366463437,1.0,0.1,0.3001755929817093,8.0,1.0
iq,lag,ndvi,ndvi_se,ndvi_se_lag_32,32,monthly_lag,-0.3335284366463437,0.3335284366463437,0.3335284366463437,1.0,0.1,0.3001755929817093,8.0,1.0
iq,lag,ndvi,ndvi_se,ndvi_se_lag_33,33,monthly_lag,-0.3335284366463437,0.3335284366463437,0.3335284366463437,1.0,0.1,0.3001755929817093,8.0,1.0
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_11,11,lag,0.1553394452875092,0.1553394452875092,0.1553394452875092,1.0,0.15,0.15,,
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_51,51,monthly_lag,0.3451250232040823,0.3451250232040823,0.3451250232040823,1.0,0.1,0.3106125208836741,13.0,1.0
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_52,52,monthly_lag,0.3451250232040823,0.3451250232040823,0.3451250232040823,1.0,0.1,0.3106125208836741,13.0,1.0
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_53,53,monthly_lag,0.3451250232040823,0.3451250232040823,0.3451250232040823,1.0,0.1,0.3106125208836741,13.0,1.0
iq,rolling_mean,ndvi,ndvi_sw,ndvi_sw_rolling_13_mean,13,rolling,0.1553457391869811,0.1553457391869811,0.1624349165659774,0.9563568133695144,0.15,0.1543131707376785,,
iq,rolling_mean,ndvi,ndvi_sw,ndvi_sw_rolling_14_mean,14,rolling,0.1624349165659774,0.1624349165659774,0.1624349165659774,1.0,0.15,0.1543131707376785,,
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_19,19,monthly_lag,-0.26030606741782,0.26030606741782,0.2768616129573283,0.940202813374276,0.1,0.2491754516615955,5.0,3.0
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_20,20,monthly_lag,-0.26030606741782,0.26030606741782,0.2768616129573283,0.940202813374276,0.1,0.2491754516615955,5.0,3.0
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_21,21,monthly_lag,-0.26030606741782,0.26030606741782,0.2768616129573283,0.940202813374276,0.1,0.2491754516615955,5.0,3.0
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_39,39,monthly_lag,0.2768616129573283,0.2768616129573283,0.2768616129573283,1.0,0.1,0.2491754516615955,10.0,1.0
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_40,40,monthly_lag,0.2768616129573283,0.2768616129573283,0.2768616129573283,1.0,0.1,0.2491754516615955,10.0,1.0
