weekofyear,seasonal_mean,seasonal_abs_mean
1,0.002359313356493295,0.002359313356493295
2,0.04655174805450003,0.04655174805450003
3,-0.004328718244988927,0.004328718244988927
4,-0.05109577826698482,0.05109577826698482
5,-0.04255784591933829,0.04255784591933829
6,-0.05329947351441242,0.05329947351441242
7,-0.03801302880586628,0.03801302880586628
8,-0.0680834297078822,0.0680834297078822
9,-0.043381844330633156,0.043381844330633156
10,-0.032808468476949036,0.032808468476949036
11,-0.016070541735548984,0.016070541735548984
12,-0.04186910008366789,0.04186910008366789
13,-0.05585871948146901,0.05585871948146901
14,-0.030855841487459023,0.030855841487459023
15,-0.02251122883961992,0.02251122883961992
16,-0.016241391327983117,0.016241391327983117
17,0.014427460934517477,0.014427460934517477
18,-0.01865331616568192,0.01865331616568192
19,-0.05451149224650552,0.05451149224650552
20,-0.01726727337263072,0.01726727337263072
21,-0.03474507096434365,0.03474507096434365
22,-0.04902031566855086,0.04902031566855086
23,-0.036267849131978044,0.036267849131978044
24,0.001034815730336549,0.001034815730336549
25,-0.029299075746591113,0.029299075746591113
26,-0.029261072430090913,0.029261072430090913
27,0.006041883670514355,0.006041883670514355
28,0.002424363585641473,0.002424363585641473
29,-0.01937634990029204,0.01937634990029204
30,0.005240497575462959,0.005240497575462959
31,-0.01812830304624388,0.01812830304624388
32,0.05183961325088192,0.05183961325088192
33,0.06945997902125757,0.06945997902125757
34,0.04141967610595014,0.04141967610595014
35,0.015455004322608028,0.015455004322608028
36,0.02786038821383758,0.02786038821383758
37,0.015883044722309034,0.015883044722309034
38,0.022922271175880974,0.022922271175880974
39,0.036803902743031115,0.036803902743031115
40,0.03858924082126792,0.03858924082126792
41,0.023898114201768048,0.023898114201768048
42,0.058607628350929655,0.058607628350929655
43,0.08746918313047007,0.08746918313047007
44,0.048995508856842604,0.048995508856842604
45,0.04061862530019914,0.04061862530019914
46,0.031675565744568604,0.031675565744568604
47,0.016703772080724613,0.016703772080724613
48,0.03952583806300848,0.03952583806300848
49,0.06072341463845723,0.06072341463845723
50,0.029548405807699414,0.029548405807699414
51,-0.008942610396295986,0.008942610396295986
52,-0.009145109848669336,0.009145109848669336
53,-0.019801230888646854,0.019801230888646854
