city,feature_group,feature,window_weeks,rolling_stat,rolling_feature_name,n_pairs,pearson_corr,abs_pearson_corr
iq,reanalysis,reanalysis_min_air_temp_k,6,mean,reanalysis_min_air_temp_k_rolling_6_mean,520,0.2616343523579084,0.2616343523579084
iq,reanalysis,reanalysis_min_air_temp_k,7,mean,reanalysis_min_air_temp_k_rolling_7_mean,520,0.26060968894701003,0.26060968894701003
iq,reanalysis,reanalysis_min_air_temp_k,8,mean,reanalysis_min_air_temp_k_rolling_8_mean,520,0.2589914254862054,0.2589914254862054
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,4,mean,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,520,0.2585068973007409,0.2585068973007409
iq,reanalysis,reanalysis_min_air_temp_k,9,mean,reanalysis_min_air_temp_k_rolling_9_mean,520,0.2580801541881262,0.2580801541881262
iq,station,station_min_temp_c,4,mean,station_min_temp_c_rolling_4_mean,520,0.2575030662204318,0.2575030662204318
iq,reanalysis,reanalysis_min_air_temp_k,10,mean,reanalysis_min_air_temp_k_rolling_10_mean,520,0.2570939772371881,0.2570939772371881
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,3,mean,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,520,0.25675301485665286,0.25675301485665286
iq,reanalysis,reanalysis_min_air_temp_k,5,mean,reanalysis_min_air_temp_k_rolling_5_mean,520,0.25627124561849374,0.25627124561849374
iq,reanalysis,reanalysis_dew_point_temp_k,4,mean,reanalysis_dew_point_temp_k_rolling_4_mean,520,0.2547988668827405,0.2547988668827405
iq,station,station_min_temp_c,3,mean,station_min_temp_c_rolling_3_mean,520,0.25380422364795197,0.25380422364795197
iq,station,station_min_temp_c,5,mean,station_min_temp_c_rolling_5_mean,520,0.2536902014814202,0.2536902014814202
iq,reanalysis,reanalysis_dew_point_temp_k,3,mean,reanalysis_dew_point_temp_k_rolling_3_mean,520,0.25273718394333383,0.25273718394333383
iq,reanalysis,reanalysis_min_air_temp_k,4,mean,reanalysis_min_air_temp_k_rolling_4_mean,520,0.25234510645891767,0.25234510645891767
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,6,mean,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,520,0.25162591992022654,0.25162591992022654
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,5,mean,reanalysis_specific_humidity_g_per_kg_rolling_5_mean,520,0.25158678651138466,0.25158678651138466
iq,reanalysis,reanalysis_min_air_temp_k,11,mean,reanalysis_min_air_temp_k_rolling_11_mean,520,0.2504307861905779,0.2504307861905779
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,2,mean,reanalysis_specific_humidity_g_per_kg_rolling_2_mean,520,0.2503596211952918,0.2503596211952918
iq,reanalysis,reanalysis_dew_point_temp_k,6,mean,reanalysis_dew_point_temp_k_rolling_6_mean,520,0.2483775551692996,0.2483775551692996
iq,reanalysis,reanalysis_dew_point_temp_k,5,mean,reanalysis_dew_point_temp_k_rolling_5_mean,520,0.24827850740940496,0.24827850740940496
iq,station,station_min_temp_c,6,mean,station_min_temp_c_rolling_6_mean,520,0.2478293222510233,0.2478293222510233
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,7,mean,reanalysis_specific_humidity_g_per_kg_rolling_7_mean,520,0.24781681260260272,0.24781681260260272
iq,reanalysis,reanalysis_dew_point_temp_k,2,mean,reanalysis_dew_point_temp_k_rolling_2_mean,520,0.245799836349318,0.245799836349318
iq,reanalysis,reanalysis_min_air_temp_k,3,mean,reanalysis_min_air_temp_k_rolling_3_mean,520,0.24546284527733045,0.24546284527733045
iq,reanalysis,reanalysis_dew_point_temp_k,7,mean,reanalysis_dew_point_temp_k_rolling_7_mean,520,0.24446787555715774,0.24446787555715774
sj,station,station_min_temp_c,14,mean,station_min_temp_c_rolling_14_mean,936,0.3949923294972017,0.3949923294972017
sj,station,station_min_temp_c,13,mean,station_min_temp_c_rolling_13_mean,936,0.38611695048104444,0.38611695048104444
sj,station,station_avg_temp_c,14,mean,station_avg_temp_c_rolling_14_mean,936,0.38583343222279104,0.38583343222279104
sj,station,station_max_temp_c,14,mean,station_max_temp_c_rolling_14_mean,936,0.3810753476840157,0.3810753476840157
sj,station,station_avg_temp_c,13,mean,station_avg_temp_c_rolling_13_mean,936,0.3769563350810084,0.3769563350810084
sj,station,station_min_temp_c,12,mean,station_min_temp_c_rolling_12_mean,936,0.37569306953758425,0.37569306953758425
sj,station,station_max_temp_c,13,mean,station_max_temp_c_rolling_13_mean,936,0.37128490681201487,0.37128490681201487
sj,station,station_avg_temp_c,12,mean,station_avg_temp_c_rolling_12_mean,936,0.36669285965393517,0.36669285965393517
sj,station,station_min_temp_c,11,mean,station_min_temp_c_rolling_11_mean,936,0.36404088591258,0.36404088591258
sj,station,station_max_temp_c,12,mean,station_max_temp_c_rolling_12_mean,936,0.3601219764789991,0.3601219764789991
sj,station,station_avg_temp_c,11,mean,station_avg_temp_c_rolling_11_mean,936,0.3556342666099326,0.3556342666099326
sj,station,station_min_temp_c,10,mean,station_min_temp_c_rolling_10_mean,936,0.3508151201677727,0.3508151201677727
