city,window_weeks,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,features_at_or_above_threshold,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,1,20,0.10262765410962552,0.09062770970838817,0.2352176889087021,8,reanalysis_specific_humidity_g_per_kg,0.2352176889087021,0.2352176889087021
iq,2,20,0.11378667712326167,0.09545281470532713,0.2503596211952918,9,reanalysis_specific_humidity_g_per_kg,0.2503596211952918,0.2503596211952918
iq,3,20,0.12434032574910585,0.11708810755579305,0.25675301485665286,13,reanalysis_specific_humidity_g_per_kg,0.25675301485665286,0.25675301485665286
iq,4,20,0.13177945688256482,0.13019759779825757,0.2585068973007409,15,reanalysis_specific_humidity_g_per_kg,0.2585068973007409,0.2585068973007409
iq,5,20,0.13110458354444415,0.13350931279470257,0.25627124561849374,14,reanalysis_min_air_temp_k,0.25627124561849374,0.25627124561849374
iq,6,20,0.13495094135466545,0.14313955607504225,0.2616343523579084,14,reanalysis_min_air_temp_k,0.2616343523579084,0.2616343523579084
iq,7,20,0.13661942573603544,0.1480086667384836,0.26060968894701003,13,reanalysis_min_air_temp_k,0.26060968894701003,0.26060968894701003
iq,8,20,0.13597571299659944,0.14456644839045646,0.2589914254862054,12,reanalysis_min_air_temp_k,0.2589914254862054,0.2589914254862054
iq,9,20,0.1358704176322382,0.13501354219973066,0.2580801541881262,12,reanalysis_min_air_temp_k,0.2580801541881262,0.2580801541881262
iq,10,20,0.1355945337747429,0.1225675417522881,0.2570939772371881,12,reanalysis_min_air_temp_k,0.2570939772371881,0.2570939772371881
iq,11,20,0.13485263564470595,0.10966850983210802,0.2504307861905779,15,reanalysis_min_air_temp_k,0.2504307861905779,0.2504307861905779
iq,12,20,0.13362925691863234,0.1330408799331192,0.2411337274918955,12,reanalysis_min_air_temp_k,0.2411337274918955,0.2411337274918955
iq,13,20,0.13059112147155494,0.14382529572854919,0.23019091953923623,11,reanalysis_min_air_temp_k,0.23019091953923623,0.23019091953923623
iq,14,20,0.12665481360655081,0.15009691025710664,0.21932032539907356,12,reanalysis_min_air_temp_k,0.21932032539907356,0.21932032539907356
sj,1,20,0.12242172123164519,0.12567156130344373,0.20694226155744558,11,reanalysis_specific_humidity_g_per_kg,0.20694226155744558,0.20694226155744558
sj,2,20,0.14199787964537797,0.15642747599890533,0.2243539445755737,11,reanalysis_specific_humidity_g_per_kg,0.2243539445755737,0.2243539445755737
sj,3,20,0.15714427412372894,0.18025701945652783,0.23948244512093858,15,reanalysis_specific_humidity_g_per_kg,0.23948244512093858,0.23948244512093858
sj,4,20,0.1689791860699212,0.1966884167253692,0.2532479021514098,15,reanalysis_specific_humidity_g_per_kg,0.2532479021514098,0.2532479021514098
sj,5,20,0.17863689783261813,0.20767307614497943,0.26976883920311623,17,station_min_temp_c,0.26976883920311623,0.26976883920311623
sj,6,20,0.18687923082000507,0.21519550811915414,0.28902652653522065,17,station_min_temp_c,0.28902652653522065,0.28902652653522065
sj,7,20,0.19431987547137625,0.2209240803989099,0.30645831400219303,15,station_min_temp_c,0.30645831400219303,0.30645831400219303
sj,8,20,0.20057695722424063,0.22417581029988248,0.32235395152939006,15,station_min_temp_c,0.32235395152939006,0.32235395152939006
sj,9,20,0.20645702165241256,0.2276150348546344,0.3368873436226605,15,station_min_temp_c,0.3368873436226605,0.3368873436226605
sj,10,20,0.211496735414645,0.23041114805042148,0.3508151201677727,15,station_min_temp_c,0.3508151201677727,0.3508151201677727
sj,11,20,0.21569572193116984,0.23206877422841513,0.36404088591258,15,station_min_temp_c,0.36404088591258,0.36404088591258
sj,12,20,0.2191935556525629,0.23242500843360503,0.37569306953758425,15,station_min_temp_c,0.37569306953758425,0.37569306953758425
sj,13,20,0.22182380893250547,0.23112682993901187,0.38611695048104444,16,station_min_temp_c,0.38611695048104444,0.38611695048104444
sj,14,20,0.2236310025752704,0.23045546521295285,0.3949923294972017,16,station_min_temp_c,0.3949923294972017,0.3949923294972017
